Designator,Mid X,Mid Y,Rotation,Layer
_2,169.175,-70.025,0.0,top
,238.65,-123.425,0.0,top
BOOT1,236.4,-65.975,0.0,top
C1,204.725,-46.4625,270.0,bottom
C10,187.65,-108.175,270.0,bottom
C11,184.9,-108.175,270.0,bottom
C12,200.025,-109.5,90.0,bottom
C13,197.375,-109.5,90.0,bottom
C2,214.15,-46.4625,90.0,bottom
C3,231.735,-75.9,90.0,top
C4,189.8125,-44.825,270.0,bottom
C5,177.645,-47.36375,270.0,bottom
C6,231.675,-66.0,90.0,top
C7,231.325,-53.6,0.0,top
C8,175.7575,-52.18875,0.0,top
C9,173.775,-95.95,180.0,top
D1,216.0,-48.075,0.0,top
D2,189.35,-47.95,0.0,top
D3,201.777527,-47.975,0.0,top
IC1,210.05,-45.0875,270.0,bottom
IC2,205.2525,-111.005,0.0,bottom
IC4,171.175,-45.89375,180.0,top
J1,197.255,-33.695,180.0,top
J10,191.5,-128.275,270.0,top
J2,210.875,-70.0,270.0,top
J3,237.55,-109.05,270.0,top
J4,237.55,-90.075,270.0,top
J5,191.85,-92.625,90.0,top
J6,155.7575,-46.16375,270.0,top
J7,152.73,-74.51,0.0,top
J8,152.2,-102.09,180.0,top
L1,184.2875,-39.775,0.0,bottom
LED1,231.46,-50.42,0.0,top
R1,229.585,-75.925,270.0,top
R10,169.9325,-38.53875,270.0,top
R11,167.7825,-52.13875,0.0,top
R12,176.8825,-46.21375,180.0,top
R13,156.55,-62.475,90.0,top
R14,153.2,-62.462353,90.0,top
R16,211.125,-109.6,90.0,bottom
R17,214.175,-104.025,0.0,top
R19,216.0,-50.15,0.0,top
R2,190.65,-36.625,270.0,top
R20,189.3,-50.0,0.0,top
R21,201.775,-50.1,0.0,top
R3,203.825,-36.6,270.0,top
R5,184.9875,-51.075,180.0,bottom
R6,184.9875,-48.725,0.0,bottom
R7,229.55,-66.025,270.0,top
R8,207.925,-84.425,0.0,top
R9,173.0075,-38.53875,270.0,top
RST1,236.4,-75.875,0.0,top
RV1,165.35,-93.675,270.0,top
U1,197.15,-42.3375,180.0,top
U2,185.275,-44.75,0.0,bottom
U3,181.71,-107.68,90.0,bottom
