Designator,Mid X,Mid Y,Rotation,Layer
ANT1,220.325,-93.15,180.0,top
BOOT1,237.85,-99.25,270.0,top
C1,238.8575,-123.375,0.0,top
C10,218.9325,-120.75,0.0,bottom
C11,227.8,-120.275,270.0,top
C12,220.975,-102.825,180.0,top
C13,225.6,-109.9825,270.0,bottom
C14,224.225,-109.9825,270.0,bottom
C15,220.95,-97.675,180.0,top
C16,230.9075,-106.075,0.0,top
C17,234.25,-117.3,270.0,bottom
C18,226.65,-120.275,270.0,top
C19,219.52071,-111.701651,180.0,bottom
C2,238.85,-126.575,0.0,top
C20,235.3,-117.3,270.0,bottom
C21,222.25,-107.45,90.0,bottom
C22,230.72,-125.2575,180.0,bottom
C23,227.1,-96.55,180.0,top
C24,230.72,-119.9825,180.0,bottom
C25,234.4,-93.525,180.0,top
C26,236.95,-93.525,0.0,top
C3,238.8575,-124.975,0.0,top
C4,238.85,-124.975,180.0,bottom
C5,238.8575,-123.375,180.0,bottom
C6,231.95,-97.55,90.0,bottom
C7,237.75,-97.925,90.0,bottom
C8,218.925,-114.7,0.0,bottom
C9,218.9325,-119.475,0.0,bottom
D1,236.55,-107.25,180.0,bottom
D2,236.55,-108.35,180.0,bottom
J1,220.76,-100.3,90.0,bottom
J2,228.9,-110.725,0.0,top
L1,236.15,-101.7375,180.0,bottom
L2,219.5,-117.075,270.0,bottom
L3,221.875,-100.2,90.0,top
LED1,227.225,-99.3,180.0,top
R1,222.65,-94.15,180.0,bottom
R10,234.2,-103.45,180.0,top
R11,238.4,-106.65,270.0,bottom
R12,238.4,-109.0,90.0,bottom
R13,237.6,-103.45,180.0,top
R2,220.175,-94.15,0.0,bottom
R5,239.55,-106.6,90.0,top
R6,234.95,-93.15,0.0,bottom
R7,234.95,-94.55,180.0,bottom
R8,236.8,-117.3,270.0,bottom
R9,222.243071,-110.181371,270.0,bottom
RST1,233.475,-99.25,90.0,top
U1,229.1,-103.15,90.0,bottom
U2,234.8,-97.4375,180.0,bottom
U3,228.935,-112.58,90.0,top
U4,238.79,-113.51,90.0,top
Y1,219.45,-109.05,90.0,bottom
Y2,230.665,-122.61,270.0,bottom
