Ref,Val,Package,PosX,PosY,Rot,Side
"C4","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",238.850000,-124.975000,0.000000,bottom
"C5","4u7","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",238.857500,-123.375000,0.000000,bottom
"C6","4u7","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",231.950000,-97.550000,90.000000,bottom
"C7","10u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",237.750000,-97.925000,90.000000,bottom
"C8","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",218.925000,-114.700000,180.000000,bottom
"C9","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",218.932500,-119.475000,180.000000,bottom
"C10","10u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",218.932500,-120.750000,180.000000,bottom
"C13","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",225.600000,-109.982500,-90.000000,bottom
"C14","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",224.225000,-109.982500,-90.000000,bottom
"C17","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",234.250000,-117.300000,-90.000000,bottom
"C19","10p","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",219.520710,-111.701651,0.000000,bottom
"C20","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",235.300000,-117.300000,-90.000000,bottom
"C21","10p","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",222.250000,-107.450000,90.000000,bottom
"C22","20p","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",230.720000,-125.257500,0.000000,bottom
"C24","20p","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",230.720000,-119.982500,0.000000,bottom
"D1","LED","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",236.550000,-107.250000,0.000000,bottom
"D2","LED","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",236.550000,-108.350000,0.000000,bottom
"J1","USB-C","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",220.760000,-100.300000,90.000000,bottom
"L1","2u2","L_Wurth_WE-LQSH-4020",236.150000,-101.737500,0.000000,bottom
"L2","2n2","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",219.500000,-117.075000,-90.000000,bottom
"R1","5k1","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",222.650000,-94.150000,0.000000,bottom
"R2","5k1","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",220.175000,-94.150000,180.000000,bottom
"R6","450k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",234.950000,-93.150000,180.000000,bottom
"R7","100k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",234.950000,-94.550000,0.000000,bottom
"R8","100k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",236.800000,-117.300000,-90.000000,bottom
"R9","22R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",222.243071,-110.181371,-90.000000,bottom
"R11","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",238.400000,-106.650000,-90.000000,bottom
"R12","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",238.400000,-109.000000,90.000000,bottom
"U1","USBLC6-2SC6","SOT-23-6",229.100000,-103.150000,-90.000000,bottom
"U2","TLV62568DBVR","SOT-23-5",234.800000,-97.437500,180.000000,bottom
"Y1","40MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",219.450000,-109.050000,90.000000,bottom
"Y2","32.768KHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",230.665000,-122.610000,-90.000000,bottom
"ANT1","KH-3216-H0209","ANTC3216X140N",220.325000,-93.150000,180.000000,top
"BOOT1","SW_BOOT","SW_SPST_EVQP2",237.850000,-99.250000,-90.000000,top
"C1","4u7","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",238.857500,-123.375000,0.000000,top
"C2","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",238.850000,-126.575000,0.000000,top
"C3","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",238.857500,-124.975000,0.000000,top
"C11","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",227.800000,-120.275000,-90.000000,top
"C12","3p3","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",220.975000,-102.825000,180.000000,top
"C15","3p3","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",220.950000,-97.675000,180.000000,top
"C16","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",230.907500,-106.075000,0.000000,top
"C18","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",226.650000,-120.275000,-90.000000,top
"C23","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",227.100000,-96.550000,180.000000,top
"C25","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",234.400000,-93.525000,180.000000,top
"C26","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",236.950000,-93.525000,0.000000,top
"J2","M.2-B-KEY","M.2-B-KEY",228.900000,-133.100000,0.000000,top
"L3","2n2","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",221.875000,-100.200000,90.000000,top
"LED1","WS2812C-2020-V1","WS2812C2020",227.225000,-99.300000,180.000000,top
"R5","22R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",239.550000,-106.600000,90.000000,top
"R10","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",234.200000,-103.450000,180.000000,top
"RST1","SW_RST","SW_SPST_EVQP2",233.475000,-99.250000,90.000000,top
"U3","ESP32-S3R8","QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm",228.935000,-112.580000,0.000000,top
"U4","W25Q16JVUXIQ","USON-8-2X3_P0.6mm",238.790000,-113.510000,90.000000,top
