Ref,Val,Package,PosX,PosY,Rot,Side
"C4","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",238.850000,-124.975000,0.000000,bottom
"C5","4u7","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",238.857500,-123.375000,0.000000,bottom
"C6","4u7","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",231.950000,-97.550000,90.000000,bottom
"C7","10u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",237.750000,-97.925000,90.000000,bottom
"C8","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",218.925000,-114.700000,180.000000,bottom
"C9","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",218.932500,-119.475000,180.000000,bottom
"C10","10u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",218.932500,-120.750000,180.000000,bottom
"C13","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",225.600000,-109.982500,-90.000000,bottom
"C14","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",224.225000,-109.982500,-90.000000,bottom
"C17","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",234.250000,-117.300000,-90.000000,bottom
"C19","10p","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",219.520710,-111.701651,0.000000,bottom
"C20","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",235.300000,-117.300000,-90.000000,bottom
"C21","10p","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",222.250000,-107.450000,90.000000,bottom
"C22","20p","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",230.720000,-125.257500,0.000000,bottom
"C24","20p","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",230.720000,-119.982500,0.000000,bottom
"D1","LED","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",236.550000,-107.250000,0.000000,bottom
"D2","LED","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",236.550000,-108.350000,0.000000,bottom
"J1","USB-C","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",220.760000,-100.300000,90.000000,bottom
"L1","2u2","L_Wurth_WE-LQSH-4020",236.150000,-101.737500,0.000000,bottom
"L2","2n2","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",219.500000,-117.075000,-90.000000,bottom
"R1","5k1","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",222.650000,-94.150000,0.000000,bottom
"R2","5k1","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",220.175000,-94.150000,180.000000,bottom
"R6","450k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",234.950000,-93.150000,180.000000,bottom
"R7","100k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",234.950000,-94.550000,0.000000,bottom
"R8","100k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",236.800000,-117.300000,-90.000000,bottom
"R9","22R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",222.243071,-110.181371,-90.000000,bottom
"R11","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",238.400000,-106.650000,-90.000000,bottom
"R12","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",238.400000,-109.000000,90.000000,bottom
"U1","USBLC6-2SC6","SOT-23-6",229.100000,-103.150000,-90.000000,bottom
"U2","TLV62568DBVR","SOT-23-5",234.800000,-97.437500,180.000000,bottom
"Y1","40MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",219.450000,-109.050000,90.000000,bottom
"Y2","32.768KHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",230.665000,-122.610000,-90.000000,bottom
