Ref,Val,Package,PosX,PosY,Rot,Side
"ANT1","KH-3216-H0209","ANTC3216X140N",220.325000,-93.150000,180.000000,top
"BOOT1","SW_BOOT","SW_SPST_EVQP2",237.850000,-99.250000,-90.000000,top
"C1","4u7","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",238.857500,-123.375000,0.000000,top
"C2","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",238.850000,-126.575000,0.000000,top
"C3","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",238.857500,-124.975000,0.000000,top
"C11","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",227.800000,-120.275000,-90.000000,top
"C12","3p3","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",220.975000,-102.825000,180.000000,top
"C15","3p3","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",220.950000,-97.675000,180.000000,top
"C16","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",230.907500,-106.075000,0.000000,top
"C18","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",226.650000,-120.275000,-90.000000,top
"C23","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",227.100000,-96.550000,180.000000,top
"C25","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",234.400000,-93.525000,180.000000,top
"C26","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",236.950000,-93.525000,0.000000,top
"J2","M.2-B-KEY","M.2-B-KEY",228.900000,-133.100000,0.000000,top
"L3","2n2","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",221.875000,-100.200000,90.000000,top
"LED1","WS2812C-2020-V1","WS2812C2020",227.225000,-99.300000,180.000000,top
"R5","22R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",239.550000,-106.600000,90.000000,top
"R10","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",234.200000,-103.450000,180.000000,top
"RST1","SW_RST","SW_SPST_EVQP2",233.475000,-99.250000,90.000000,top
"U3","ESP32-S3R8","QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm",228.935000,-112.580000,0.000000,top
"U4","W25Q16JVUXIQ","USON-8-2X3_P0.6mm",238.790000,-113.510000,90.000000,top
